"KODE","NAMA_REK","TAHUN","SKT","PREFIX"
"410114080001",Pajak Dolomit,2025,,
"41011409",Pajak Felspar,2025,,
"410114090001",Pajak Felspar,2025,,
"41011410",Pajak Garam Batu (Halite),2025,,
"410114100001",Pajak Garam Batu (Halite),2025,,
"41011411",Pajak Grafit,2025,,
"410114110001",Pajak Grafit,2025,,
"41011412",Pajak Granit/Andesit,2025,,
"410114120001",Pajak Granit/Andesit,2025,,
"41011413",Pajak Gips,2025,,
"410114130001",Pajak Gips,2025,,
"41011414",Pajak Kalsit,2025,,
"410114140001",Pajak Kalsit,2025,,
"41011415",Pajak Kaolin,2025,,
"410114150001",Pajak Kaolin,2025,,
"41011416",Pajak Leusit,2025,,
"410114160001",Pajak Leusit,2025,,
"41011417",Pajak Magnesit,2025,,
"410114170001",Pajak Magnesit,2025,,
"41011418",Pajak Mika,2025,,
"410114180001",Pajak Mika,2025,,
"41011419",Pajak Marmer,2025,,
"410114190001",Pajak Marmer,2025,,
"41011420",Pajak Nitrat,2025,,
"410114200001",Pajak Nitrat,2025,,
"41011421",Pajak Opsidien,2025,,
"410114210001",Pajak Opsidien,2025,,
"41011422",Pajak Oker,2025,,
"410114220001",Pajak Oker,2025,,
"41011423",Pajak Pasir dan Kerikil,2025,,
"410114230001",Pajak Pasir dan Kerikil,2025,,
"41011424",Pajak Pasir Kuarsa,2025,,
"410114240001",Pajak Pasir Kuarsa,2025,,
"41011425",Pajak Perlit,2025,,
"410114250001",Pajak Perlit,2025,,
"41011426",Pajak Phospat,2025,,
"410114260001",Pajak Phospat,2025,,
"41011427",Pajak Talk,2025,,
"410114270001",Pajak Talk,2025,,
"41011428",Pajak Tanah Serap (Fullers Earth),2025,,
"410114280001",Pajak Tanah Serap (Fullers Earth),2025,,
"41011429",Pajak Tanah Diatome,2025,,
"410114290001",Pajak Tanah Diatome,2025,,
"41011430",Pajak Tanah Liat,2025,,
"410114300001",Pajak Tanah Liat,2025,,
"41011431",Pajak Tawas (Alum),2025,,
